"CC.can" "CC.fer" "CC.GB"
"1950" 61.6092105848575 58.6177599272497 51.9300944681952
"1951" 56.4568308769294 52.0233433165707 43.3898546330196
"1952" 58.6294303302159 58.1511755599537 47.0573197443335
"1953" 54.7830915711591 51.2809437405606 42.074117678184
"1954" 66.4241785991563 59.8360300282695 50.1924342744808
"1955" 48.6984305785407 44.1661380608519 29.6193724734314
"1956" 40.9527453915463 34.9221360682984 26.6239661040991
"1957" 68.7888043341891 66.2341011620037 56.5385526014119
"1958" 42.6767715948693 40.0493770331601 30.3518786128556
"1959" 46.0615081818446 48.1499280286516 39.0352258719569
"1960" 47.5644290799476 46.4548697328347 35.2336063453587
"1961" 61.1252002935571 60.1758495199315 45.0525682049833
"1962" 62.0962545338778 58.6168365957465 45.2305214877635
"1963" 55.1598825822299 53.972263045846 38.2616970318774
"1964" 52.8846078649695 54.8395869680093 44.957574260792
"1965" 51.6848808131053 50.3901236973657 40.6905371167065
"1966" 39.3277701463104 38.1771329788518 31.192641611186
"1967" 57.283406475088 56.4879540363252 49.2875215385596
"1968" 55.7426295587275 54.7570240521138 43.0302334912815
"1969" 37.8466653327615 37.3265134776751 30.5687019963369
"1970" 52.7265050308623 55.4759260916632 44.4785882984695
"1971" 50.5808604860465 50.0877215425419 40.930178342071
"1972" 58.2096315363227 57.8512419132673 53.1082692735385
"1973" 56.8087878593707 57.4910199565094 52.5117797789609
"1974" 67.7159820617812 66.7780009781647 54.2845964384316
"1975" 62.0702063951279 65.0374805190093 58.6922759171208
"1976" 59.3599858550111 58.8063804646433 45.9167693177678
"1977" 42.7588545898958 46.8401400644033 36.2887149312023
"1978" 54.4278069934126 53.4905265113425 44.7765257331719
"1979" 47.7876557271748 48.221360482875 35.1703757218279
"1980" 44.8681460803337 46.1206199542004 36.864541066317
"1981" 53.1484168477744 52.6479405132343 40.7744273347682
"1982" 54.6716314555793 57.1876911675149 43.5894045078183
"1983" 52.0665125510132 49.7791259423209 46.9117397012214
"1984" 62.0574811160813 62.7348285748393 57.1393590613106
"1985" 50.5221057827739 53.3652893553853 42.8905192124517
"1986" 52.3936257993386 51.0100759279337 38.1956982419867
"1987" 48.433708817857 53.4320839206581 46.1104553107502
"1988" 58.3616726009821 53.3504504697915 46.0682019478999
"1989" 54.1012936365742 53.2555280280618 47.0320236358658
"1990" 56.178781172716 54.4543152210116 47.8163413596241
"1991" 67.2413583622377 65.7260810550014 55.4140450213339
"1992" 48.9958602902451 47.0309196027977 40.3056212783501
"1993" 57.476344148215 61.5295469219296 45.3208935071299
"1994" 66.2239696681213 65.5080922535568 52.2092138308023
"1995" 56.6146374626212 58.154261666935 49.7122242385946
"1996" 56.2953921285287 56.6676059439057 41.5386958536198
"1997" 49.6195034130445 50.0642207034136 37.3601821472173
"1998" 53.99588974445 50.6875798715312 43.7346734734119
"1999" 53.9129009040348 53.2032736928684 44.8752224881281
"2000" 58.0424369723759 54.2347817147425 43.1702612007123
"2001" 57.4972474548903 52.8931362186809 41.7675481953054
"2002" 59.1855260413145 55.5983781552017 51.3703060027865
"2003" 51.3432250489639 50.3168431647068 40.0943535228657
"2004" 55.3340359798587 55.7106174268557 40.8604753295658
"2005" 62.3688465196245 61.7422802355796 51.3135590630264
"2006" 48.6917703041041 47.0531781670932 42.0497552728882
"2007" 50.2582870944827 49.5914471370072 43.4021909038102
"2008" 54.1049304209432 51.3897855108582 51.7943936070323
"2009" 60.1759593647943 57.568320779275 45.8893126088651
"2010" 48.2135084336935 44.336202796156 34.0619015759071
"2011" 47.5550355557004 45.5804323364386 32.5231766318187
"2012" 55.497295200191 54.0118407991141 50.6652542191824
"2013" 53.6572657893645 53.6339925052954 47.6476328677268
